Date,Range_High,Range_Low,Range_Size_Pts,Signal,Signal_Time,Signal_Price,Score_Trend,Score_RangeATR,Score_Strength,Score_Volume,Score_TimeOfDay,Total_Score,Grade,Take_Trade
2026-06-08,21475.13,21453.86,21.27,SELL,2026-06-08 10:30:00-04:00,21432.87,0,10,20,10,20,60,C,YES
2026-06-17,21579.88,21572.11,7.77,BUY,2026-06-17 10:30:00-04:00,21582.99,0,20,5,15,20,60,C,YES
2026-05-28,21228.63,21223.64,4.99,BUY,2026-05-28 10:30:00-04:00,21240.84,0,20,20,0,20,60,C,YES
2026-07-23,21843.35,21841.34,2.01,BUY,2026-07-23 10:30:00-04:00,21881.18,0,20,20,0,20,60,C,YES
2026-06-15,21646.84,21628.07,18.77,SELL,2026-06-15 11:30:00-04:00,21616.79,0,15,15,15,14,59,C,no
2026-08-07,21882.3,21857.0,25.3,BUY,2026-08-07 11:30:00-04:00,21914.81,10,10,20,5,14,59,C,no
2026-06-25,21525.9,21524.44,1.46,BUY,2026-06-25 10:30:00-04:00,21525.98,10,20,0,5,20,55,C,no
2026-06-24,21510.71,21468.95,41.76,BUY,2026-06-24 10:30:00-04:00,21539.3,0,5,20,10,20,55,C,no
2026-07-28,22067.3,22032.85,34.45,BUY,2026-07-28 10:30:00-04:00,22095.65,0,5,20,10,20,55,C,no
2026-07-29,22098.02,22036.14,61.88,SELL,2026-07-29 11:30:00-04:00,22005.08,10,0,20,10,14,54,C,no
2026-05-29,21239.82,21194.34,45.48,BUY,2026-05-29 11:30:00-04:00,21264.12,10,0,20,10,14,54,C,no
2026-07-17,21841.92,21824.99,16.93,BUY,2026-07-17 11:30:00-04:00,21849.22,0,15,10,15,14,54,C,no
2026-07-03,21771.18,21739.23,31.95,BUY,2026-07-03 11:30:00-04:00,21777.29,20,5,10,5,14,54,C,no
2026-05-25,21187.07,21155.47,31.6,BUY,2026-05-25 11:30:00-04:00,21247.97,10,0,20,10,14,54,C,no
2026-07-15,21781.25,21758.65,22.6,BUY,2026-07-15 10:30:00-04:00,21785.39,10,5,10,5,20,50,C,no
2026-05-01,21520.74,21479.26,41.48,BUY,2026-05-01 12:30:00-04:00,21531.68,10,10,10,10,8,48,D,no
2026-05-18,21317.69,21296.56,21.13,SELL,2026-05-18 12:30:00-04:00,21242.78,10,10,20,0,8,48,D,no
2026-05-11,21308.37,21263.49,44.88,SELL,2026-05-11 12:30:00-04:00,21230.57,20,0,20,0,8,48,D,no
2026-05-20,21309.24,21254.02,55.22,BUY,2026-05-20 10:30:00-04:00,21311.19,10,0,5,10,20,45,D,no
2026-07-13,21728.23,21712.08,16.15,SELL,2026-07-13 10:30:00-04:00,21711.99,10,15,0,0,20,45,D,no
2026-08-10,21929.17,21919.89,9.28,SELL,2026-08-10 10:30:00-04:00,21919.32,0,20,0,5,20,45,D,no
2026-08-06,21914.81,21885.55,29.26,SELL,2026-08-06 11:30:00-04:00,21884.6,10,10,0,10,14,44,D,no
2026-07-10,21684.12,21662.55,21.57,BUY,2026-07-10 11:30:00-04:00,21727.92,0,10,20,0,14,44,D,no
2026-08-03,21894.47,21854.09,40.38,SELL,2026-08-03 10:30:00-04:00,21853.79,10,0,0,10,20,40,D,no
2026-05-14,21239.75,21160.22,79.53,BUY,2026-05-14 14:30:00-04:00,21259.61,10,0,20,10,0,40,D,no
2026-06-18,21611.58,21580.38,31.2,SELL,2026-06-18 10:30:00-04:00,21576.63,10,5,5,0,20,40,D,no
2026-05-07,21396.58,21346.29,50.29,SELL,2026-05-07 11:30:00-04:00,21345.67,20,0,0,0,14,34,F,no
2026-07-31,21945.61,21897.15,48.46,SELL,2026-07-31 11:30:00-04:00,21895.39,20,0,0,0,14,34,F,no
2026-05-27,21379.59,21335.99,43.6,SELL,2026-05-27 10:30:00-04:00,21328.57,0,0,10,0,20,30,F,no
2026-07-06,21819.43,21774.71,44.72,SELL,2026-07-06 10:30:00-04:00,21773.02,0,0,5,0,20,25,F,no
2026-08-05,21852.36,21797.22,55.14,BUY,2026-08-05 11:30:00-04:00,21852.43,10,0,0,0,14,24,F,no
2026-06-16,21624.78,21589.96,34.82,BUY,2026-06-16 11:30:00-04:00,21626.88,0,5,0,0,14,19,F,no
